,State,Gender,Specialty,OpioidP,NumGender,NumState,NumSpeciality,StateNumber,StateName,Population,Deaths
66,AL,M,other,0,2,2,2,1,Alabama,4833722,723
67,AL,M,other,1,2,2,2,1,Alabama,4833722,723
68,AL,M,Surgeon,1,2,2,1,1,Alabama,4833722,723
69,AL,F,General,0,1,2,4,1,Alabama,4833722,723
70,AL,F,General,1,1,2,4,1,Alabama,4833722,723
71,AL,F,General,1,1,2,4,1,Alabama,4833722,723
72,AL,M,other,0,2,2,2,1,Alabama,4833722,723
73,AL,F,other,1,1,2,2,1,Alabama,4833722,723
74,AL,F,other,0,1,2,2,1,Alabama,4833722,723
75,AL,F,General,1,1,2,4,1,Alabama,4833722,723
76,AL,M,other,1,2,2,2,1,Alabama,4833722,723
77,AL,M,General,1,2,2,4,1,Alabama,4833722,723
78,AL,M,other,0,2,2,2,1,Alabama,4833722,723
79,AL,M,other,1,2,2,2,1,Alabama,4833722,723
80,AL,M,other,1,2,2,2,1,Alabama,4833722,723
81,AL,M,other,0,2,2,2,1,Alabama,4833722,723
82,AL,M,Surgeon,1,2,2,1,1,Alabama,4833722,723
83,AL,M,General,1,2,2,4,1,Alabama,4833722,723
84,AL,M,other,1,2,2,2,1,Alabama,4833722,723
85,AL,M,other,0,2,2,2,1,Alabama,4833722,723
86,AL,M,General,1,2,2,4,1,Alabama,4833722,723
87,AL,F,General,1,1,2,4,1,Alabama,4833722,723
88,AL,M,other,1,2,2,2,1,Alabama,4833722,723
89,AL,M,other,0,2,2,2,1,Alabama,4833722,723
90,AL,M,other,1,2,2,2,1,Alabama,4833722,723
91,AL,M,Surgeon,1,2,2,1,1,Alabama,4833722,723
92,AL,M,other,1,2,2,2,1,Alabama,4833722,723
93,AL,M,other,0,2,2,2,1,Alabama,4833722,723
94,AL,F,General,0,1,2,4,1,Alabama,4833722,723
95,AL,M,General,1,2,2,4,1,Alabama,4833722,723
96,AL,M,other,0,2,2,2,1,Alabama,4833722,723
97,AL,F,General,0,1,2,4,1,Alabama,4833722,723
98,AL,M,General,1,2,2,4,1,Alabama,4833722,723
99,AL,M,other,1,2,2,2,1,Alabama,4833722,723
100,AL,M,General,1,2,2,4,1,Alabama,4833722,723
101,AL,M,other,1,2,2,2,1,Alabama,4833722,723
102,AL,M,General,1,2,2,4,1,Alabama,4833722,723
103,AL,M,other,0,2,2,2,1,Alabama,4833722,723
104,AL,M,General,1,2,2,4,1,Alabama,4833722,723
105,AL,F,other,0,1,2,2,1,Alabama,4833722,723
106,AL,F,General,0,1,2,4,1,Alabama,4833722,723
107,AL,M,other,1,2,2,2,1,Alabama,4833722,723
108,AL,M,other,1,2,2,2,1,Alabama,4833722,723
109,AL,F,General,1,1,2,4,1,Alabama,4833722,723
110,AL,M,Surgeon,1,2,2,1,1,Alabama,4833722,723
111,AL,M,other,0,2,2,2,1,Alabama,4833722,723
112,AL,M,General,1,2,2,4,1,Alabama,4833722,723
113,AL,M,other,1,2,2,2,1,Alabama,4833722,723
114,AL,M,other,1,2,2,2,1,Alabama,4833722,723
115,AL,M,other,0,2,2,2,1,Alabama,4833722,723
116,AL,M,other,1,2,2,2,1,Alabama,4833722,723
117,AL,M,other,0,2,2,2,1,Alabama,4833722,723
118,AL,F,General,0,1,2,4,1,Alabama,4833722,723
119,AL,M,other,1,2,2,2,1,Alabama,4833722,723
120,AL,M,Surgeon,1,2,2,1,1,Alabama,4833722,723
121,AL,M,Surgeon,1,2,2,1,1,Alabama,4833722,723
122,AL,F,General,0,1,2,4,1,Alabama,4833722,723
123,AL,M,Surgeon,1,2,2,1,1,Alabama,4833722,723
124,AL,M,General,0,2,2,4,1,Alabama,4833722,723
125,AL,F,General,0,1,2,4,1,Alabama,4833722,723
126,AL,M,other,1,2,2,2,1,Alabama,4833722,723
127,AL,M,General,1,2,2,4,1,Alabama,4833722,723
128,AL,M,General,1,2,2,4,1,Alabama,4833722,723
129,AL,F,other,1,1,2,2,1,Alabama,4833722,723
130,AL,F,other,0,1,2,2,1,Alabama,4833722,723
131,AL,M,Surgeon,1,2,2,1,1,Alabama,4833722,723
132,AL,F,General,0,1,2,4,1,Alabama,4833722,723
133,AL,M,General,1,2,2,4,1,Alabama,4833722,723
134,AL,F,General,1,1,2,4,1,Alabama,4833722,723
135,AL,M,other,1,2,2,2,1,Alabama,4833722,723
136,AL,F,other,0,1,2,2,1,Alabama,4833722,723
137,AL,M,General,1,2,2,4,1,Alabama,4833722,723
138,AL,M,General,1,2,2,4,1,Alabama,4833722,723
139,AL,M,other,1,2,2,2,1,Alabama,4833722,723
140,AL,F,General,1,1,2,4,1,Alabama,4833722,723
141,AL,M,Surgeon,1,2,2,1,1,Alabama,4833722,723
142,AL,F,other,1,1,2,2,1,Alabama,4833722,723
143,AL,M,other,1,2,2,2,1,Alabama,4833722,723
144,AL,M,other,0,2,2,2,1,Alabama,4833722,723
145,AL,M,other,1,2,2,2,1,Alabama,4833722,723
146,AL,M,General,0,2,2,4,1,Alabama,4833722,723
147,AL,M,other,1,2,2,2,1,Alabama,4833722,723
148,AL,M,other,1,2,2,2,1,Alabama,4833722,723
149,AL,M,Surgeon,1,2,2,1,1,Alabama,4833722,723
150,AL,M,Surgeon,1,2,2,1,1,Alabama,4833722,723
151,AL,M,other,0,2,2,2,1,Alabama,4833722,723
152,AL,M,General,1,2,2,4,1,Alabama,4833722,723
153,AL,F,other,1,1,2,2,1,Alabama,4833722,723
154,AL,M,General,1,2,2,4,1,Alabama,4833722,723
155,AL,F,other,1,1,2,2,1,Alabama,4833722,723
156,AL,F,General,0,1,2,4,1,Alabama,4833722,723
157,AL,F,other,0,1,2,2,1,Alabama,4833722,723
158,AL,M,other,1,2,2,2,1,Alabama,4833722,723
159,AL,M,other,1,2,2,2,1,Alabama,4833722,723
160,AL,F,General,1,1,2,4,1,Alabama,4833722,723
161,AL,M,General,1,2,2,4,1,Alabama,4833722,723
162,AL,F,General,1,1,2,4,1,Alabama,4833722,723
163,AL,F,other,1,1,2,2,1,Alabama,4833722,723
164,AL,F,General,1,1,2,4,1,Alabama,4833722,723
165,AL,M,Surgeon,1,2,2,1,1,Alabama,4833722,723
166,AL,M,other,0,2,2,2,1,Alabama,4833722,723
167,AL,M,other,1,2,2,2,1,Alabama,4833722,723
168,AL,M,other,1,2,2,2,1,Alabama,4833722,723
169,AL,M,other,1,2,2,2,1,Alabama,4833722,723
170,AL,M,other,1,2,2,2,1,Alabama,4833722,723
171,AL,M,General,1,2,2,4,1,Alabama,4833722,723
172,AL,M,other,1,2,2,2,1,Alabama,4833722,723
173,AL,M,other,1,2,2,2,1,Alabama,4833722,723
174,AL,M,other,1,2,2,2,1,Alabama,4833722,723
175,AL,M,General,1,2,2,4,1,Alabama,4833722,723
176,AL,M,other,1,2,2,2,1,Alabama,4833722,723
177,AL,M,other,0,2,2,2,1,Alabama,4833722,723
178,AL,M,other,1,2,2,2,1,Alabama,4833722,723
179,AL,M,other,1,2,2,2,1,Alabama,4833722,723
180,AL,F,other,0,1,2,2,1,Alabama,4833722,723
181,AL,M,other,1,2,2,2,1,Alabama,4833722,723
182,AL,M,other,0,2,2,2,1,Alabama,4833722,723
183,AL,M,other,1,2,2,2,1,Alabama,4833722,723
184,AL,M,General,1,2,2,4,1,Alabama,4833722,723
185,AL,M,other,1,2,2,2,1,Alabama,4833722,723
186,AL,F,General,0,1,2,4,1,Alabama,4833722,723
187,AL,M,other,1,2,2,2,1,Alabama,4833722,723
188,AL,M,other,0,2,2,2,1,Alabama,4833722,723
189,AL,M,other,0,2,2,2,1,Alabama,4833722,723
190,AL,M,General,1,2,2,4,1,Alabama,4833722,723
191,AL,F,other,1,1,2,2,1,Alabama,4833722,723
192,AL,M,other,1,2,2,2,1,Alabama,4833722,723
193,AL,M,General,1,2,2,4,1,Alabama,4833722,723
194,AL,F,General,0,1,2,4,1,Alabama,4833722,723
195,AL,M,General,1,2,2,4,1,Alabama,4833722,723
196,AL,M,other,0,2,2,2,1,Alabama,4833722,723
197,AL,M,other,1,2,2,2,1,Alabama,4833722,723
198,AL,F,General,1,1,2,4,1,Alabama,4833722,723
199,AL,F,General,0,1,2,4,1,Alabama,4833722,723
200,AL,M,other,1,2,2,2,1,Alabama,4833722,723
201,AL,F,other,0,1,2,2,1,Alabama,4833722,723
202,AL,F,Surgeon,1,1,2,1,1,Alabama,4833722,723
203,AL,F,General,1,1,2,4,1,Alabama,4833722,723
204,AL,M,other,0,2,2,2,1,Alabama,4833722,723
205,AL,F,General,1,1,2,4,1,Alabama,4833722,723
206,AL,F,Surgeon,1,1,2,1,1,Alabama,4833722,723
207,AL,F,General,0,1,2,4,1,Alabama,4833722,723
208,AL,M,other,1,2,2,2,1,Alabama,4833722,723
209,AL,F,other,0,1,2,2,1,Alabama,4833722,723
210,AL,F,General,0,1,2,4,1,Alabama,4833722,723
211,AL,M,other,0,2,2,2,1,Alabama,4833722,723
212,AL,M,other,1,2,2,2,1,Alabama,4833722,723
213,AL,M,General,1,2,2,4,1,Alabama,4833722,723
214,AL,M,other,1,2,2,2,1,Alabama,4833722,723
215,AL,M,General,1,2,2,4,1,Alabama,4833722,723
216,AL,F,other,0,1,2,2,1,Alabama,4833722,723
217,AL,F,General,0,1,2,4,1,Alabama,4833722,723
218,AL,M,General,1,2,2,4,1,Alabama,4833722,723
219,AL,M,other,0,2,2,2,1,Alabama,4833722,723
220,AL,F,other,1,1,2,2,1,Alabama,4833722,723
221,AL,M,Surgeon,1,2,2,1,1,Alabama,4833722,723
222,AL,M,General,1,2,2,4,1,Alabama,4833722,723
223,AL,M,Surgeon,1,2,2,1,1,Alabama,4833722,723
224,AL,M,other,1,2,2,2,1,Alabama,4833722,723
225,AL,F,other,1,1,2,2,1,Alabama,4833722,723
226,AL,M,General,1,2,2,4,1,Alabama,4833722,723
227,AL,M,other,1,2,2,2,1,Alabama,4833722,723
228,AL,F,General,1,1,2,4,1,Alabama,4833722,723
229,AL,M,other,0,2,2,2,1,Alabama,4833722,723
230,AL,M,other,0,2,2,2,1,Alabama,4833722,723
231,AL,M,Surgeon,1,2,2,1,1,Alabama,4833722,723
232,AL,F,General,0,1,2,4,1,Alabama,4833722,723
233,AL,M,other,1,2,2,2,1,Alabama,4833722,723
234,AL,F,General,1,1,2,4,1,Alabama,4833722,723
235,AL,F,General,1,1,2,4,1,Alabama,4833722,723
236,AL,F,General,1,1,2,4,1,Alabama,4833722,723
237,AL,F,General,1,1,2,4,1,Alabama,4833722,723
238,AL,F,General,1,1,2,4,1,Alabama,4833722,723
239,AL,M,General,1,2,2,4,1,Alabama,4833722,723
240,AL,M,General,1,2,2,4,1,Alabama,4833722,723
241,AL,M,other,0,2,2,2,1,Alabama,4833722,723
242,AL,F,other,1,1,2,2,1,Alabama,4833722,723
243,AL,F,General,1,1,2,4,1,Alabama,4833722,723
244,AL,F,other,1,1,2,2,1,Alabama,4833722,723
245,AL,M,Surgeon,1,2,2,1,1,Alabama,4833722,723
246,AL,F,other,1,1,2,2,1,Alabama,4833722,723
247,AL,M,other,1,2,2,2,1,Alabama,4833722,723
248,AL,M,General,1,2,2,4,1,Alabama,4833722,723
249,AL,M,General,1,2,2,4,1,Alabama,4833722,723
250,AL,F,General,0,1,2,4,1,Alabama,4833722,723
251,AL,M,other,1,2,2,2,1,Alabama,4833722,723
252,AL,M,other,1,2,2,2,1,Alabama,4833722,723
253,AL,M,other,0,2,2,2,1,Alabama,4833722,723
254,AL,M,Surgeon,1,2,2,1,1,Alabama,4833722,723
255,AL,M,other,1,2,2,2,1,Alabama,4833722,723
256,AL,M,General,1,2,2,4,1,Alabama,4833722,723
257,AL,F,other,0,1,2,2,1,Alabama,4833722,723
258,AL,M,General,1,2,2,4,1,Alabama,4833722,723
259,AL,M,other,1,2,2,2,1,Alabama,4833722,723
260,AL,F,other,1,1,2,2,1,Alabama,4833722,723
261,AL,F,General,1,1,2,4,1,Alabama,4833722,723
262,AL,F,General,1,1,2,4,1,Alabama,4833722,723
263,AL,M,other,0,2,2,2,1,Alabama,4833722,723
264,AL,M,other,1,2,2,2,1,Alabama,4833722,723
265,AL,M,General,1,2,2,4,1,Alabama,4833722,723
266,AL,M,other,1,2,2,2,1,Alabama,4833722,723
267,AL,M,Surgeon,1,2,2,1,1,Alabama,4833722,723
268,AL,F,General,1,1,2,4,1,Alabama,4833722,723
269,AL,M,General,0,2,2,4,1,Alabama,4833722,723
270,AL,F,General,0,1,2,4,1,Alabama,4833722,723
271,AL,M,other,0,2,2,2,1,Alabama,4833722,723
272,AL,M,other,1,2,2,2,1,Alabama,4833722,723
273,AL,M,General,1,2,2,4,1,Alabama,4833722,723
274,AL,M,other,0,2,2,2,1,Alabama,4833722,723
275,AL,M,General,1,2,2,4,1,Alabama,4833722,723
276,AL,M,other,1,2,2,2,1,Alabama,4833722,723
277,AL,M,General,1,2,2,4,1,Alabama,4833722,723
278,AL,M,Surgeon,1,2,2,1,1,Alabama,4833722,723
279,AL,M,Surgeon,1,2,2,1,1,Alabama,4833722,723
280,AL,M,General,1,2,2,4,1,Alabama,4833722,723
281,AL,M,General,1,2,2,4,1,Alabama,4833722,723
282,AL,F,General,1,1,2,4,1,Alabama,4833722,723
283,AL,M,other,1,2,2,2,1,Alabama,4833722,723
284,AL,M,other,0,2,2,2,1,Alabama,4833722,723
285,AL,M,other,1,2,2,2,1,Alabama,4833722,723
286,AL,M,Surgeon,1,2,2,1,1,Alabama,4833722,723
287,AL,M,other,1,2,2,2,1,Alabama,4833722,723
288,AL,M,other,0,2,2,2,1,Alabama,4833722,723
289,AL,M,Surgeon,1,2,2,1,1,Alabama,4833722,723
290,AL,M,other,0,2,2,2,1,Alabama,4833722,723
291,AL,M,other,0,2,2,2,1,Alabama,4833722,723
292,AL,F,other,0,1,2,2,1,Alabama,4833722,723
293,AL,F,General,0,1,2,4,1,Alabama,4833722,723
294,AL,M,other,0,2,2,2,1,Alabama,4833722,723
295,AL,M,other,0,2,2,2,1,Alabama,4833722,723
296,AL,M,General,1,2,2,4,1,Alabama,4833722,723
297,AL,M,General,1,2,2,4,1,Alabama,4833722,723
298,AL,M,General,1,2,2,4,1,Alabama,4833722,723
299,AL,M,other,0,2,2,2,1,Alabama,4833722,723
300,AL,F,General,0,1,2,4,1,Alabama,4833722,723
301,AL,M,other,1,2,2,2,1,Alabama,4833722,723
302,AL,M,other,0,2,2,2,1,Alabama,4833722,723
303,AL,M,General,1,2,2,4,1,Alabama,4833722,723
304,AL,F,General,1,1,2,4,1,Alabama,4833722,723
305,AL,M,other,1,2,2,2,1,Alabama,4833722,723
306,AL,M,General,0,2,2,4,1,Alabama,4833722,723
307,AL,M,other,1,2,2,2,1,Alabama,4833722,723
308,AL,M,Surgeon,1,2,2,1,1,Alabama,4833722,723
309,AL,M,other,1,2,2,2,1,Alabama,4833722,723
310,AL,F,General,0,1,2,4,1,Alabama,4833722,723
311,AL,F,General,1,1,2,4,1,Alabama,4833722,723
312,AL,M,other,1,2,2,2,1,Alabama,4833722,723
313,AL,M,other,0,2,2,2,1,Alabama,4833722,723
314,AL,F,other,1,1,2,2,1,Alabama,4833722,723
315,AL,M,other,0,2,2,2,1,Alabama,4833722,723
316,AL,M,other,1,2,2,2,1,Alabama,4833722,723
317,AL,M,other,1,2,2,2,1,Alabama,4833722,723
318,AL,F,General,1,1,2,4,1,Alabama,4833722,723
319,AL,M,other,1,2,2,2,1,Alabama,4833722,723
320,AL,F,General,1,1,2,4,1,Alabama,4833722,723
321,AL,F,General,1,1,2,4,1,Alabama,4833722,723
322,AL,F,General,0,1,2,4,1,Alabama,4833722,723
323,AL,F,General,0,1,2,4,1,Alabama,4833722,723
324,AL,M,Surgeon,1,2,2,1,1,Alabama,4833722,723
325,AL,M,General,1,2,2,4,1,Alabama,4833722,723
326,AL,M,other,1,2,2,2,1,Alabama,4833722,723
327,AL,F,other,1,1,2,2,1,Alabama,4833722,723
328,AL,M,General,1,2,2,4,1,Alabama,4833722,723
329,AL,F,other,0,1,2,2,1,Alabama,4833722,723
330,AL,M,Surgeon,1,2,2,1,1,Alabama,4833722,723
331,AL,M,Surgeon,1,2,2,1,1,Alabama,4833722,723
332,AL,M,other,0,2,2,2,1,Alabama,4833722,723
333,AL,M,General,0,2,2,4,1,Alabama,4833722,723
334,AL,M,other,1,2,2,2,1,Alabama,4833722,723
335,AL,F,General,1,1,2,4,1,Alabama,4833722,723
336,AL,M,other,1,2,2,2,1,Alabama,4833722,723
337,AL,M,Surgeon,1,2,2,1,1,Alabama,4833722,723
338,AL,M,other,0,2,2,2,1,Alabama,4833722,723
339,AL,M,General,0,2,2,4,1,Alabama,4833722,723
340,AL,M,General,1,2,2,4,1,Alabama,4833722,723
341,AL,M,other,1,2,2,2,1,Alabama,4833722,723
342,AL,F,General,1,1,2,4,1,Alabama,4833722,723
343,AL,M,other,1,2,2,2,1,Alabama,4833722,723
344,AL,M,other,0,2,2,2,1,Alabama,4833722,723
345,AL,M,other,0,2,2,2,1,Alabama,4833722,723
346,AL,M,General,1,2,2,4,1,Alabama,4833722,723
347,AL,F,General,0,1,2,4,1,Alabama,4833722,723
348,AL,M,other,1,2,2,2,1,Alabama,4833722,723
349,AL,M,General,1,2,2,4,1,Alabama,4833722,723
350,AL,M,General,1,2,2,4,1,Alabama,4833722,723
351,AL,F,General,1,1,2,4,1,Alabama,4833722,723
352,AL,F,General,0,1,2,4,1,Alabama,4833722,723
353,AL,M,other,1,2,2,2,1,Alabama,4833722,723
354,AL,F,General,1,1,2,4,1,Alabama,4833722,723
355,AL,M,other,1,2,2,2,1,Alabama,4833722,723
356,AL,M,other,1,2,2,2,1,Alabama,4833722,723
357,AL,M,other,0,2,2,2,1,Alabama,4833722,723
358,AL,M,other,1,2,2,2,1,Alabama,4833722,723
359,AL,M,other,1,2,2,2,1,Alabama,4833722,723
360,AL,F,General,0,1,2,4,1,Alabama,4833722,723
361,AL,M,General,1,2,2,4,1,Alabama,4833722,723
362,AL,F,General,1,1,2,4,1,Alabama,4833722,723
363,AL,F,General,1,1,2,4,1,Alabama,4833722,723
364,AL,F,other,0,1,2,2,1,Alabama,4833722,723
365,AL,F,Surgeon,1,1,2,1,1,Alabama,4833722,723
366,AL,M,other,1,2,2,2,1,Alabama,4833722,723
367,AL,F,General,0,1,2,4,1,Alabama,4833722,723
368,AL,F,General,1,1,2,4,1,Alabama,4833722,723
369,AL,M,General,1,2,2,4,1,Alabama,4833722,723
370,AL,M,General,1,2,2,4,1,Alabama,4833722,723
371,AL,M,General,1,2,2,4,1,Alabama,4833722,723
372,AL,M,other,1,2,2,2,1,Alabama,4833722,723
373,AL,F,other,1,1,2,2,1,Alabama,4833722,723
374,AL,M,other,1,2,2,2,1,Alabama,4833722,723
375,AL,F,General,0,1,2,4,1,Alabama,4833722,723
376,AL,M,other,1,2,2,2,1,Alabama,4833722,723
377,AL,M,General,1,2,2,4,1,Alabama,4833722,723
378,AL,F,other,0,1,2,2,1,Alabama,4833722,723
379,AL,M,other,1,2,2,2,1,Alabama,4833722,723
380,AL,F,other,0,1,2,2,1,Alabama,4833722,723
381,AL,M,other,0,2,2,2,1,Alabama,4833722,723
382,AL,M,General,1,2,2,4,1,Alabama,4833722,723
383,AL,M,Surgeon,1,2,2,1,1,Alabama,4833722,723
384,AR,F,other,1,1,3,2,4,Arkansas,2959373,356
385,AR,M,General,1,2,3,4,4,Arkansas,2959373,356
386,AR,M,General,1,2,3,4,4,Arkansas,2959373,356
387,AR,M,other,1,2,3,2,4,Arkansas,2959373,356
388,AR,M,Surgeon,1,2,3,1,4,Arkansas,2959373,356
389,AR,F,General,1,1,3,4,4,Arkansas,2959373,356
390,AR,M,General,1,2,3,4,4,Arkansas,2959373,356
391,AR,M,other,1,2,3,2,4,Arkansas,2959373,356
392,AR,F,General,0,1,3,4,4,Arkansas,2959373,356
393,AR,M,Pain.Management,1,2,3,3,4,Arkansas,2959373,356
394,AR,M,other,0,2,3,2,4,Arkansas,2959373,356
395,AR,M,other,1,2,3,2,4,Arkansas,2959373,356
396,AR,M,other,1,2,3,2,4,Arkansas,2959373,356
397,AR,M,General,1,2,3,4,4,Arkansas,2959373,356
398,AR,M,other,1,2,3,2,4,Arkansas,2959373,356
399,AR,F,other,1,1,3,2,4,Arkansas,2959373,356
400,AR,F,other,0,1,3,2,4,Arkansas,2959373,356
401,AR,M,other,0,2,3,2,4,Arkansas,2959373,356
402,AR,F,General,1,1,3,4,4,Arkansas,2959373,356
403,AR,M,other,1,2,3,2,4,Arkansas,2959373,356
404,AR,M,General,1,2,3,4,4,Arkansas,2959373,356
405,AR,M,other,1,2,3,2,4,Arkansas,2959373,356
406,AR,M,General,1,2,3,4,4,Arkansas,2959373,356
407,AR,F,other,1,1,3,2,4,Arkansas,2959373,356
408,AR,F,General,1,1,3,4,4,Arkansas,2959373,356
409,AR,M,other,1,2,3,2,4,Arkansas,2959373,356
410,AR,F,General,1,1,3,4,4,Arkansas,2959373,356
411,AR,M,General,1,2,3,4,4,Arkansas,2959373,356
412,AR,M,other,1,2,3,2,4,Arkansas,2959373,356
413,AR,M,General,0,2,3,4,4,Arkansas,2959373,356
414,AR,M,other,1,2,3,2,4,Arkansas,2959373,356
415,AR,F,other,1,1,3,2,4,Arkansas,2959373,356
416,AR,M,General,1,2,3,4,4,Arkansas,2959373,356
417,AR,M,other,1,2,3,2,4,Arkansas,2959373,356
418,AR,M,other,1,2,3,2,4,Arkansas,2959373,356
419,AR,M,General,1,2,3,4,4,Arkansas,2959373,356
420,AR,M,other,0,2,3,2,4,Arkansas,2959373,356
421,AR,F,General,1,1,3,4,4,Arkansas,2959373,356
422,AR,M,General,1,2,3,4,4,Arkansas,2959373,356
423,AR,F,General,1,1,3,4,4,Arkansas,2959373,356
424,AR,M,other,1,2,3,2,4,Arkansas,2959373,356
425,AR,M,General,1,2,3,4,4,Arkansas,2959373,356
426,AR,M,other,1,2,3,2,4,Arkansas,2959373,356
427,AR,M,other,0,2,3,2,4,Arkansas,2959373,356
428,AR,M,other,0,2,3,2,4,Arkansas,2959373,356
429,AR,M,other,0,2,3,2,4,Arkansas,2959373,356
430,AR,M,General,1,2,3,4,4,Arkansas,2959373,356
431,AR,F,other,1,1,3,2,4,Arkansas,2959373,356
432,AR,M,General,0,2,3,4,4,Arkansas,2959373,356
433,AR,M,other,1,2,3,2,4,Arkansas,2959373,356
434,AR,F,General,1,1,3,4,4,Arkansas,2959373,356
435,AR,F,other,1,1,3,2,4,Arkansas,2959373,356
436,AR,M,other,0,2,3,2,4,Arkansas,2959373,356
437,AR,F,General,0,1,3,4,4,Arkansas,2959373,356
438,AR,F,General,1,1,3,4,4,Arkansas,2959373,356
439,AR,M,General,1,2,3,4,4,Arkansas,2959373,356
440,AR,F,other,0,1,3,2,4,Arkansas,2959373,356
441,AR,M,General,1,2,3,4,4,Arkansas,2959373,356
442,AR,F,other,0,1,3,2,4,Arkansas,2959373,356
443,AR,F,General,1,1,3,4,4,Arkansas,2959373,356
444,AR,M,other,1,2,3,2,4,Arkansas,2959373,356
445,AR,M,General,1,2,3,4,4,Arkansas,2959373,356
446,AR,M,other,1,2,3,2,4,Arkansas,2959373,356
447,AR,M,General,1,2,3,4,4,Arkansas,2959373,356
448,AR,F,other,1,1,3,2,4,Arkansas,2959373,356
449,AR,M,General,1,2,3,4,4,Arkansas,2959373,356
450,AR,M,other,1,2,3,2,4,Arkansas,2959373,356
451,AR,F,General,1,1,3,4,4,Arkansas,2959373,356
452,AR,M,other,0,2,3,2,4,Arkansas,2959373,356
453,AR,M,other,0,2,3,2,4,Arkansas,2959373,356
454,AR,M,General,1,2,3,4,4,Arkansas,2959373,356
455,AR,F,other,0,1,3,2,4,Arkansas,2959373,356
456,AR,F,other,0,1,3,2,4,Arkansas,2959373,356
