"","NPI","Gender","State","Credentials","Specialty","Opioid.Prescriber"
"150",1073527669,"M","TX","M.D.","Ophthalmology",0
"151",1689664211,"M","MI","MD","Internal Medicine",1
"152",1184679599,"M","OH","M.D.","Infectious Disease",0
"153",1558575357,"M","NY","D.D.S","Dentist",0
"154",1508931650,"M","IN","M.D.","Family Practice",1
"155",1245390210,"M","TX","MD","Gastroenterology",1
"156",1649533845,"M","MO","M.D.","Internal Medicine",0
"157",1376703926,"F","VA","MD,MPH","Psychiatry",0
"158",1447298526,"M","MI","MD","Physical Medicine and Rehabilitation",1
"159",1700874153,"F","AZ","M.D.","Family Practice",1
"160",1184638702,"F","GA","M.D.","Family Practice",1
"161",1356360556,"M","MA","DMD","Oral Surgery (dentists only)",0
"162",1619082526,"M","LA","DDS","Dentist",0
"163",1477686616,"F","DE","M.D.","Psychiatry",0
"164",1659371177,"M","MI","DO","General Surgery",1
"165",1518951136,"F","WI","MD","Ophthalmology",0
"166",1285706093,"F","CA","MD","General Surgery",1
"167",1760424683,"F","CA","NP","Nurse Practitioner",0
"168",1497766810,"M","NE","MD","Emergency Medicine",1
"169",1063467157,"M","OH","MD","Emergency Medicine",1
"170",1972579928,"M","OH","D.O.","Internal Medicine",1
"171",1699853770,"F","CA","MD","Obstetrics/Gynecology",0
"172",1710154299,"M","CA","M.D.","Emergency Medicine",1
"173",1932542842,"M","IN","M.D.","Student in an Organized Health Care Education/Training Program",1
"174",1124197108,"M","PR","M.D.","Nephrology",1
"175",1093721847,"M","WI","MD","Internal Medicine",0
"176",1851458723,"M","TX","MD","General Surgery",1
"177",1063617975,"M","MD","M.D.","Family Practice",1
"178",1144333055,"M","TX","D.O.","Family Practice",1
"179",1801860630,"M","NY","MD","Urology",1
"180",1154472579,"M","PA","M.D.","Family Practice",1
"181",1316956899,"M","CA","M.D.","Internal Medicine",1
"182",1184667842,"F","CA","M.D.","Family Practice",1
"183",1295856854,"M","TX","D.D.S.","Dentist",0
"184",1962798900,"M","PA","MD","Student in an Organized Health Care Education/Training Program",0
"185",1831278092,"F","MI","PA-C","Physician Assistant",1
"186",1184839037,"F","MI","D.D.S.","Dentist",0
"187",1871685800,"M","FL","BDS,  DDS","Dentist",0
"188",1558311050,"F","CA","MD","Cardiology",0
"189",1851308340,"M","PR","M.D.","Family Practice",1
"190",1063464808,"M","NJ","M.D.","Internal Medicine",1
"191",1447398615,"M","MI","DDS","Dentist",0
"192",1487841177,"M","CA","MD","Orthopedic Surgery",1
"193",1063475432,"M","IL","PA","Physician Assistant",1
"194",1346294717,"M","UT","M.D.","Internal Medicine",1
"195",1437186061,"M","WA","M.D.","Emergency Medicine",1
"196",1326167164,"F","MD","D.D.S., F.A.G.D.","Dentist",0
"197",1669558797,"M","MI","MD","Cardiology",0
"198",1003813155,"F","CT","MD","Internal Medicine",0
"199",1114173721,"M","CA","DDS, MD","Maxillofacial Surgery",1
"200",1760767867,"F","IL","","Nurse Practitioner",0
"201",1104835941,"F","NM","PMH, CNP/CNS","Certified Clinical Nurse Specialist",0
"202",1457554297,"F","PR","","General Practice",0
"203",1083671184,"M","OH","MD","Preventive Medicine",1
"204",1023360765,"F","MN","P.A.","Physician Assistant",1
"205",1285617332,"M","TN","MD","Infectious Disease",1
"206",1992771174,"M","AR","MD","Otolaryngology",1
"207",1467718734,"F","TN","MD","Student in an Organized Health Care Education/Training Program",1
"208",1487918330,"M","IL","M.D.","Family Practice",0
"209",1811156482,"M","WI","M.D.","Rheumatology",1
"210",1285693804,"F","MI","M.D.","Dermatology",0
"211",1578819355,"M","TX","DDS","Dentist",1
"212",1649208638,"F","CA","M.D","Neuropsychiatry",1
"213",1932410776,"M","TX","MD","Family Practice",1
"214",1174741524,"M","CA","D.D.S.","Dentist",0
"215",1770716300,"M","OH","PA-C","Physician Assistant",1
"216",1487623195,"F","MD","","Nurse Practitioner",0
"217",1568454932,"M","PR","MD","General Practice",1
"218",1790746642,"F","NY","PA","Physician Assistant",1
"219",1689994428,"F","IN","M.D.","Physical Medicine and Rehabilitation",0
"220",1992139281,"F","IL","PA-C","Physician Assistant",0
"221",1609127893,"M","PA","MD","Internal Medicine",0
"222",1407852148,"M","CA","MD","Allergy/Immunology",0
"223",1104093236,"M","NY","M.D.","General Surgery",0
"224",1922063064,"M","SC","MD","Ophthalmology",0
"225",1861588873,"M","MN","MD","Psychiatry",0
"226",1831388396,"M","TX","M.D.","Family Practice",1
"227",1649373424,"F","OR","MD","Family Practice",1
"228",1306886064,"M","KY","M.D.","Diagnostic Radiology",0
"229",1740249861,"M","ME","MD","Family Practice",1
"230",1972540680,"F","RI","MD","Pulmonary Disease",0
"231",1902899230,"M","WY","PA","Physician Assistant",1
"232",1548277015,"M","NY","M.D.","Hand Surgery",1
"233",1992821300,"M","TX","MD","Internal Medicine",0
"234",1831118678,"F","WV","MD","Emergency Medicine",1
"235",1861586836,"M","CA","M.D.","Ophthalmology",0
"236",1144200999,"M","TN","MD","Pulmonary Disease",1
"237",1063667889,"M","NC","M.D.","Family Practice",1
"238",1659390201,"M","TX","D.D.S","Dentist",1
"239",1225017346,"M","IN","D.D.S.","Dentist",0
"240",1023003407,"M","TX","MD","Emergency Medicine",1
"241",1427249184,"M","OH","","Hospice and Palliative Care",1
"242",1447469598,"M","IL","D.O.","Emergency Medicine",1
"243",1356360713,"M","VA","MD","Orthopedic Surgery",1
"244",1508832528,"M","AL","MD","Family Practice",1
"245",1942292511,"M","VA","MD","Family Practice",1
"246",1427019512,"F","RI","NP","Nurse Practitioner",1
"247",1962483768,"M","TX","DDS","Maxillofacial Surgery",1
"248",1023070364,"M","WI","M.D.","Cardiology",1
"249",1992712277,"F","VA","M.D.","Obstetrics/Gynecology",0
"250",1295765063,"M","FL","D.O.","Family Practice",1
"251",1588873715,"M","AZ","M.D.","Thoracic Surgery",1
"252",1134195993,"F","TX","D.O., MPH & TM","Family Practice",0
"253",1922178342,"M","CA","M.D.","Emergency Medicine",1
"254",1821031253,"M","TX","M.D.","Medical Oncology",1
"255",1154515385,"F","CA","MD","Hand Surgery",1
"256",1073581856,"M","CA","DDS","Dentist",1
"257",1700292620,"M","SC","D.M.D.","Dentist",1
"258",1740289222,"M","AK","MD","Orthopedic Surgery",1
"259",1225353816,"M","NY","MD","Nephrology",0
"260",1528022753,"M","AL","M.D.","Plastic and Reconstructive Surgery",1
"261",1073664660,"F","CA","M.D., PH.D.","Hematology/Oncology",1
"262",1922098169,"F","TN","MD","Allergy/Immunology",0
"263",1194796813,"F","FL","D.O.","Family Practice",1
"264",1811917305,"M","CA","MD","Family Practice",1
"265",1770529885,"F","FL","MD","General Practice",1
"266",1790865756,"F","TN","APRN","Nurse Practitioner",0
"267",1669529038,"M","PR","","Dentist",0
"268",1225265051,"M","MA","M.D.","Internal Medicine",1
"269",1487634432,"M","AR","M.D.","Psychiatry",0
"270",1760573901,"M","MA","M.D.","Ophthalmology",0
"271",1760558092,"F","OH","M.D.","Family Practice",1
"272",1396892287,"M","LA","MD","Cardiac Electrophysiology",1
"273",1144243239,"F","NY","RPA-C","Physician Assistant",1
"274",1457471781,"F","PA","CRNP","Nurse Practitioner",1
"275",1215958228,"M","NC","D.D.S.","Dentist",0
"276",1902837206,"M","NH","DMD","Dentist",0
"277",1518985811,"F","NC","M.D.","Internal Medicine",0
"278",1063408383,"M","IA","MD FACOG","Obstetrics/Gynecology",0
"279",1669764346,"M","CA","D.D.S.","Dentist",0
"280",1386706646,"M","CA","DO","Family Practice",0
"281",1770772881,"F","WA","ARNP","Nurse Practitioner",1
"282",1023223849,"M","CA","MD","Colon & Rectal Surgery",0
"283",1386677607,"F","CA","MD","Internal Medicine",0
"284",1437284395,"F","CT","F.N.P.","Nurse Practitioner",0
"285",1679881221,"M","IL","M.D.","Internal Medicine",1
"286",1760720270,"M","IN","M.D.","Internal Medicine",0
"287",1205948544,"F","CA","M.D.","Obstetrics/Gynecology",0
"288",1861557605,"F","IL","MD","Otolaryngology",1
"289",1255394888,"M","SC","MD","Family Practice",1
"290",1619241551,"M","OR","PAC","Physician Assistant",1
"291",1982711255,"M","WI","MD","Internal Medicine",0
"292",1821197385,"M","CA","M.D.","Pulmonary Disease",0
"293",1396703161,"M","CA","MD","Orthopedic Surgery",1
"294",1316292451,"M","WI","D.O","Hospitalist",0
"295",1578562096,"M","AL","CRNP","Nurse Practitioner",1
"296",1689763633,"M","GA","MD","Internal Medicine",1
"297",1134177827,"F","NY","M.D","General Practice",1
"298",1194893867,"M","MD","DDS","Dentist",0
"299",1538179049,"M","FL","D.M.D.","Dentist",0
"300",1629090709,"M","CA","M.D.","Family Practice",1
"301",1811173321,"M","OH","DDS","Dentist",0
"302",1629325998,"F","SC","APRN","Nurse Practitioner",1
"303",1780832766,"M","FL","MD","Internal Medicine",1
"304",1588680953,"M","NE","M.D.","Family Practice",1
"305",1639124985,"M","IL","M.D.","Emergency Medicine",1
"306",1114359379,"F","AR","ANP","Nurse Practitioner",0
"307",1336403260,"M","GA","M.D.","Urology",1
"308",1578569729,"F","WI","MD","Family Practice",1
"309",1194867119,"M","PR","DMD","Dentist",0
"310",1538489158,"F","OR","FNP-C","Nurse Practitioner",1
"311",1144331943,"M","GA","PA","Physician Assistant",0
"312",1043507866,"M","IL","MD","Urology",1
"313",1740397009,"M","CA","DDS","Dentist",1
"314",1982614293,"M","PA","D.O.","Cardiology",0
"315",1922142124,"M","IL","DDS","Dentist",1
"316",1154492296,"M","NY","M.D.","Internal Medicine",1
"317",1942296470,"M","PA","DPM","Podiatry",1
"318",1295747046,"M","ID","D.O.","Internal Medicine",0
"319",1417123696,"F","MN","M.D.","Family Practice",1
"320",1396960068,"M","FL","D.M.D.","Dentist",1
"321",1053547042,"M","NC","D.M.D","Dentist",1
"322",1326090796,"M","AZ","MD","Emergency Medicine",1
"323",1295721322,"M","WA","MD","Colorectal Surgery (formerly proctology)",1
"324",1992923775,"M","MD","M.D.","Internal Medicine",0
"325",1316942287,"F","WA","D.D.S.","Dentist",0
"326",1326024357,"F","IL","MD","Internal Medicine",1
"327",1659302990,"M","NY","D.O.","Family Practice",1
"328",1639386816,"M","NY","MD","Specialist",0
"329",1124001771,"M","MI","P.A.","Physician Assistant",1
"330",1053536250,"M","NY","M.D.","Internal Medicine",1
"331",1790713386,"F","VA","MD","Emergency Medicine",1
"332",1326099086,"M","WI","MD","Diagnostic Radiology",0
"333",1356321442,"M","MI","M.D.","Cardiology",0
"334",1619074614,"M","FL","MD","Internal Medicine",1
"335",1306138433,"F","CA","M.D.","Psychiatry",0
"336",1043438278,"M","FL","DMD","Dentist",0
"337",1063411924,"F","GA","MD","Internal Medicine",1
"338",1447244678,"M","FL","M.D.","Internal Medicine",1
"339",1154684074,"M","MD","MD","Family Practice",0
"340",1447220843,"M","OK","MD","Internal Medicine",1
"341",1760426266,"M","MI","M.D.","Nephrology",1
"342",1013934017,"M","MN","MD","Internal Medicine",1
"343",1477872083,"F","GA","D.P.M.","Podiatry",0
"344",1124137708,"M","PA","M.D.","Cardiology",0
"345",1497758395,"M","IN","OD","Optometry",0
"346",1265400170,"F","OK","MD","Geriatric Medicine",1
"347",1497781462,"M","NY","D.O.","Family Practice",0
"348",1629088919,"M","IL","DDS","Dentist",0
"349",1629073598,"M","CO","M.D.","Family Practice",1
"350",1710939228,"M","AL","M.D.","Orthopedic Surgery",1
"351",1861672859,"M","LA","M.D.","Internal Medicine",0
"352",1255432530,"M","OR","DPM","Podiatry",1
"353",1417942335,"F","ND","FNP","Nurse Practitioner",1
"354",1225026453,"M","OH","D.D.S.","Dentist",0
"355",1851408058,"M","WI","DO","Family Practice",1
"356",1346228426,"M","TX","M.D.","Ophthalmology",0
"357",1659379725,"M","NY","M.D.","Cardiology",1
"358",1003249343,"F","MD","O. D.","Optometry",0
"359",1265408421,"F","IL","DPM","Podiatry",0
"360",1689620353,"M","NJ","MD","Cardiology",0
"361",1699820431,"M","PR","M.D.","Neurology",0
"362",1801979752,"M","NJ","M.D.","Family Practice",1
"363",1518905355,"M","FL","MD","Internal Medicine",1
"364",1063468312,"M","OH","M.D.","Internal Medicine",1
"365",1558320374,"F","SC","MD","Obstetrics/Gynecology",0
"366",1730205980,"F","CA","DPM","Podiatry",0
"367",1831230655,"M","MO","MD","Obstetrics/Gynecology",0
"368",1164453734,"F","FL","DO","Obstetrics/Gynecology",0
"369",1891704193,"M","MO","DDS","Dentist",1
"370",1841298767,"M","LA","M.D.","Family Practice",1
"371",1063492809,"M","FL","MD","Gynecological/Oncology",1
"372",1952515991,"M","CA","DDS","Dentist",0
"373",1376549071,"F","TN","O.D.","Optometry",0
"374",1295990554,"M","MD","MD","Neurology",0
"375",1679571186,"M","FL","MD","Cardiology",1
"376",1063412443,"M","TX","D.D.S.","Dentist",0
"377",1356570923,"M","WA","M.D.","Internal Medicine",1
"378",1952615049,"M","NY","M.D.","Internal Medicine",1
"379",1346282357,"F","PA","FNP","Nurse Practitioner",1
"380",1609809797,"M","TN","MD","Obstetrics/Gynecology",0
"381",1275535171,"M","NJ","DPM","Podiatry",0
"382",1396740791,"M","LA","M.D.","Otolaryngology",1
"383",1902907587,"M","NY","M.D.","General Surgery",1
"384",1548226608,"F","NY","NP","Nurse Practitioner",0
"385",1548255912,"M","PA","M.D.","Internal Medicine",1
"386",1972675627,"F","CA","MD","Obstetrics/Gynecology",0
"387",1902943145,"M","SC","O.D.","Optometry",0
"388",1184658528,"M","CT","MD","Internal Medicine",1
"389",1922117787,"M","CT","MD","Hand Surgery",1
"390",1578549523,"M","SC","MD","Psychiatry",0
"391",1912948647,"M","SC","MD","Psychiatry",1
"392",1497160162,"M","MA","D.O.","General Surgery",1
"393",1124186556,"M","WI","DDS","Dentist",0
"394",1902117203,"F","MI","DDS","Dentist",0
"395",1588621965,"M","NC","MD","Anesthesiology",0
"396",1144532870,"F","ME","PA-C","Physician Assistant",1
"397",1174593164,"M","VA","M.D.","Neurosurgery",1
"398",1669646543,"M","WA","M.D.","Family Practice",1
"399",1093742314,"M","MO","MD","Obstetrics/Gynecology",1
"400",1710901764,"M","TX","M.D.","Internal Medicine",0
"401",1609972959,"F","MO","D.O.","Family Practice",1
"402",1619041415,"M","TX","D.O.","Family Practice",1
"403",1083610505,"M","AR","MD","Ophthalmology",1
"404",1962729517,"M","TX","D.O.","Internal Medicine",0
"405",1710095401,"M","AZ","DDS","Dentist",1
"406",1346335981,"M","TN","M.D.","Family Practice",1
"407",1396738472,"F","NY","DO","Emergency Medicine",1
"408",1881775898,"F","VT","PA-C","Physician Assistant",1
"409",1316052590,"M","OH","MD","Internal Medicine",1
"410",1295967164,"F","NH","","Dentist",1
"411",1619979705,"M","OH","MD","Cardiology",0
"412",1265542237,"F","SC","DMD","Dentist",0
"413",1629071105,"F","IN","O.D.","Optometry",0
"414",1356505333,"F","OH","CNS","Certified Clinical Nurse Specialist",0
"415",1124216916,"M","CA","D.D.S","Dentist",0
"416",1033319322,"M","AZ","M.D","Psychiatry & Neurology",0
"417",1124282082,"M","IL","M.D.","Internal Medicine",1
"418",1194712240,"M","NC","M.D.","Hematology/Oncology",1
"419",1447209531,"M","TX","MD","Internal Medicine",1
"420",1295794725,"M","CA","MD","Family Practice",1
"421",1225097819,"M","IL","M.D.","Internal Medicine",1
"422",1477984524,"F","ID","MS, APRN, FNP-C","Nurse Practitioner",0
"423",1386963619,"F","FL","M.D.","Clinic/Center",1
"424",1003944646,"F","ME","MD","Family Practice",1
"425",1609804087,"F","PA","CRNP","Nurse Practitioner",1
"426",1215920319,"M","CA","M.D.","Family Practice",1
"427",1992783393,"M","TX","D.O.","Otolaryngology",1
"428",1538365127,"M","HI","M.D.","Internal Medicine",1
"429",1477637833,"M","CA","DDS","Dentist",1
"430",1205960788,"F","PA","M.D.","Psychiatry",0
"431",1467488916,"F","MA","MD MPH","Internal Medicine",0
"432",1487991568,"F","AL","CRNP","Nurse Practitioner",0
"433",1730140104,"M","NH","PA-C","Physician Assistant",1
"434",1043347461,"F","CA","NP-C","Nurse Practitioner",1
"435",1689622268,"F","FL","M.D.","Internal Medicine",1
"436",1114951431,"M","ND","M.D.","Family Practice",1
"437",1841386711,"M","NY","M.D.","Internal Medicine",1
"438",1255423174,"M","NC","PHARM D","Pharmacist",0
"439",1508157983,"F","OH","MD","Internal Medicine",1
"440",1952379869,"M","KS","MD","Internal Medicine",1
"441",1942316625,"F","FL","NP-C","Nurse Practitioner",0
"442",1295045516,"F","WA","ARNP","Nurse Practitioner",1
"443",1114923331,"M","TX","M.D.","Family Practice",1
"444",1801850086,"M","OR","MD","General Surgery",1
"445",1265495758,"F","VA","DO","Rheumatology",1
"446",1124052782,"M","MN","M.D.,","Family Practice",1
"447",1760439673,"F","NY","FNP","Nurse Practitioner",0
"448",1982606141,"F","NY","FNP","Nurse Practitioner",1
"449",1518911460,"M","PA","MD","Family Practice",1
"450",1235109935,"F","MA","NP","Nurse Practitioner",0
"451",1134565914,"F","SC","","Nurse Practitioner",0
"452",1609101583,"F","OK","ARNP","Nurse Practitioner",1
"453",1174688790,"F","TN","M.D.","Family Practice",0
"454",1265496970,"M","PR","MD","Internal Medicine",1
"455",1467415117,"M","IN","MD","Cardiology",1
"456",1255332011,"M","TX","M.D.","Cardiology",0
"457",1023050515,"M","VA","MD","Internal Medicine",1
"458",1851516660,"M","IL","MD","Family Practice",1
"459",1770515868,"M","AL","M.D.","Obstetrics/Gynecology",0
"460",1831128826,"F","PA","D.P.M.","Podiatry",1
"461",1043546732,"F","NY","RPA-C","Physician Assistant",0
"462",1134478324,"F","MD","CRNP","Nurse Practitioner",1
"463",1932217726,"M","WA","DDS","Oral Surgery (dentists only)",0
"464",1639133838,"M","GA","MD","Interventional Pain Management",1
"465",1093920258,"F","IA","MBBS","Physical Medicine and Rehabilitation",1
"466",1962441477,"F","MN","","Nurse Practitioner",1
"467",1205831864,"M","HI","M.D.","Internal Medicine",1
"468",1912076613,"F","CT","APRN","Certified Clinical Nurse Specialist",0
"469",1598100612,"F","NY","NP","Nurse Practitioner",1
"470",1679693402,"F","PA","MD","Psychiatry & Neurology",1
"471",1134314909,"F","CA","DDS","Dentist",1
"472",1780609602,"M","VA","M.D.","Plastic and Reconstructive Surgery",1
"473",1871606541,"M","CA","PHYSICIAN ASSISTANT","Physician Assistant",0
"474",1053500975,"M","AZ","D.D.S.","Dentist",1
"475",1326058835,"M","TX","MD","Orthopedic Surgery",1
"476",1861436719,"M","NY","MD","Internal Medicine",1
"477",1518963487,"F","PA","PA-C","Physician Assistant",0
"478",1598768905,"M","NY","M.D. FCCP","Pulmonary Disease",0
"479",1902972029,"M","TX","D.M.D","Dentist",1
"480",1831326941,"M","CA","M.D.","Dermatology",0
"481",1255381109,"M","WA","M.D.","Cardiology",1
"482",1194767806,"M","MS","M.D.","Cardiology",1
"483",1962456905,"M","VT","M.D.","Ophthalmology",0
"484",1295779007,"M","MS","M.D.","General Surgery",1
"485",1699823609,"M","CA","MD","Internal Medicine",1
"486",1902110265,"F","IL","M.D.","Internal Medicine",1
"487",1659473221,"F","NC","NP","Nurse Practitioner",1
"488",1639227184,"M","NY","MD","Family Practice",1
"489",1013950708,"M","TX","M.D.","Psychiatry & Neurology",0
"490",1013996701,"M","IL","M.D.","Orthopaedic Surgery",1
