"State","Credentials","Specialty","Opioid.Prescriber"
"NY","M.D.","Internal Medicine",0
"FL","DMD","Oral Surgery (dentists only)",1
"NY","PA","Physician Assistant",1
"NY","MD","Psychiatry & Neurology",0
"PA","MD","Internal Medicine",1
"TN","D.D.S.","Dentist",1
"TX","DO","Emergency Medicine",1
"SC","MD","Anesthesiology",1
"NC","","Internal Medicine",0
"CT","M.D.","Orthopedic Surgery",1
"MO","D.O.","Internal Medicine",0
"WY","M.D.","Family Practice",1
"VA","M.D.","Internal Medicine",1
"OH","MD","Urology",1
"CA","M.D.","General Practice",1
"NJ","D.O.","Anesthesiology",1
"ME","M.D.","Psychiatry & Neurology",0
"LA","MD","Internal Medicine",0
"NJ","M.D.","Otolaryngology",0
"NY","PA","Physician Assistant",0
"CA","MD","Internal Medicine",1
"OH","M.D.","Neurology",1
"OH","M.D.","Internal Medicine",1
"CA","","Emergency Medicine",1
"FL","D.O.","Emergency Medicine",1
"AZ","MD","Ophthalmology",0
"MN","MD","Family Practice",1
"NC","M.D.","Cardiology",0
"OK","M.D.","Anesthesiology",1
"ME","MD","Internal Medicine",0
"UT","MD","Family Practice",1
"CA","","Nurse Practitioner",0
"CA","M.D.","Pulmonary Disease",0
"FL","","Emergency Medicine",1
"TX","M.D.","Neuropsychiatry",0
"PA","MD","Student in an Organized Health Care Education/Training Program",0
"FL","MD","Cardiology",0
"KS","MPT","Physical Therapist",0
"IN","M.D.","Family Practice",1
"ND","M.D.","Emergency Medicine",1
"NY","MD","Family Practice",1
"KY","ARNP","Nurse Practitioner",0
"MI","D.D.S.","Dentist",0
"PR","DMD","Dentist",0
"ME","D.M.D.","Dentist",0
"CA","MD","Internal Medicine",1
"GA","D.M.D.","Dentist",0
"GA","APRN BC FNP","Nurse Practitioner",0
"NY","MD","Student in an Organized Health Care Education/Training Program",0
"WI","MD","Dermatology",0
"AR","M.D.","Ophthalmology",1
"CT","MD","Psychiatry & Neurology",0
"NY","","Psychiatry",0
"NY","MD","Psychiatry & Neurology",0
"NJ","DMD,FAGD","Dentist",0
"CA","MD","Ophthalmology",1
"TX","MD","Otolaryngology",1
"TX","MD","General Surgery",1
"IL","MD","Internal Medicine",1
"FL","O.D.","Optometry",0
"SC","MD","Pediatric Medicine",0
"CA","M.D.","Gastroenterology",1
"MI","PA-C","Physician Assistant",0
"NC","M.D.","Otolaryngology",0
"TX","M.D.","Ophthalmology",0
"MI","MD","Internal Medicine",1
"OH","M.D.","Infectious Disease",0
"NY","D.D.S","Dentist",0
"IN","M.D.","Family Practice",1
"TX","MD","Gastroenterology",1
"MO","M.D.","Internal Medicine",0
"VA","MD,MPH","Psychiatry",0
"MI","MD","Physical Medicine and Rehabilitation",1
"AZ","M.D.","Family Practice",1
"GA","M.D.","Family Practice",1
"MA","DMD","Oral Surgery (dentists only)",0
"LA","DDS","Dentist",0
"DE","M.D.","Psychiatry",0
"MI","DO","General Surgery",1
"WI","MD","Ophthalmology",0
"CA","MD","General Surgery",1
"CA","NP","Nurse Practitioner",0
"NE","MD","Emergency Medicine",1
"OH","MD","Emergency Medicine",1
"OH","D.O.","Internal Medicine",1
"CA","MD","Obstetrics/Gynecology",0
"CA","M.D.","Emergency Medicine",1
"IN","M.D.","Student in an Organized Health Care Education/Training Program",1
"PR","M.D.","Nephrology",1
"WI","MD","Internal Medicine",0
"TX","MD","General Surgery",1
"MD","M.D.","Family Practice",1
"TX","D.O.","Family Practice",1
"NY","MD","Urology",1
"PA","M.D.","Family Practice",1
"CA","M.D.","Internal Medicine",1
"CA","M.D.","Family Practice",1
"TX","D.D.S.","Dentist",0
"PA","MD","Student in an Organized Health Care Education/Training Program",0
"MI","PA-C","Physician Assistant",1
"MI","D.D.S.","Dentist",0
"FL","BDS,  DDS","Dentist",0
"CA","MD","Cardiology",0
"PR","M.D.","Family Practice",1
"NJ","M.D.","Internal Medicine",1
"MI","DDS","Dentist",0
"CA","MD","Orthopedic Surgery",1
"IL","PA","Physician Assistant",1
"UT","M.D.","Internal Medicine",1
"WA","M.D.","Emergency Medicine",1
"MD","D.D.S., F.A.G.D.","Dentist",0
"MI","MD","Cardiology",0
"CT","MD","Internal Medicine",0
"CA","DDS, MD","Maxillofacial Surgery",1
"IL","","Nurse Practitioner",0
"NM","PMH, CNP/CNS","Certified Clinical Nurse Specialist",0
"PR","","General Practice",0
"OH","MD","Preventive Medicine",1
"MN","P.A.","Physician Assistant",1
"TN","MD","Infectious Disease",1
"AR","MD","Otolaryngology",1
"TN","MD","Student in an Organized Health Care Education/Training Program",1
"IL","M.D.","Family Practice",0
"WI","M.D.","Rheumatology",1
"MI","M.D.","Dermatology",0
"TX","DDS","Dentist",1
"CA","M.D","Neuropsychiatry",1
"TX","MD","Family Practice",1
"CA","D.D.S.","Dentist",0
"OH","PA-C","Physician Assistant",1
"MD","","Nurse Practitioner",0
"PR","MD","General Practice",1
"NY","PA","Physician Assistant",1
"IN","M.D.","Physical Medicine and Rehabilitation",0
"IL","PA-C","Physician Assistant",0
"PA","MD","Internal Medicine",0
"CA","MD","Allergy/Immunology",0
"NY","M.D.","General Surgery",0
"SC","MD","Ophthalmology",0
"MN","MD","Psychiatry",0
"TX","M.D.","Family Practice",1
"OR","MD","Family Practice",1
"KY","M.D.","Diagnostic Radiology",0
"ME","MD","Family Practice",1
"RI","MD","Pulmonary Disease",0
"WY","PA","Physician Assistant",1
"NY","M.D.","Hand Surgery",1
"TX","MD","Internal Medicine",0
"WV","MD","Emergency Medicine",1
"CA","M.D.","Ophthalmology",0
"TN","MD","Pulmonary Disease",1
"NC","M.D.","Family Practice",1
"TX","D.D.S","Dentist",1
"IN","D.D.S.","Dentist",0
"TX","MD","Emergency Medicine",1
"OH","","Hospice and Palliative Care",1
"IL","D.O.","Emergency Medicine",1
"VA","MD","Orthopedic Surgery",1
"AL","MD","Family Practice",1
"VA","MD","Family Practice",1
"RI","NP","Nurse Practitioner",1
"TX","DDS","Maxillofacial Surgery",1
"WI","M.D.","Cardiology",1
"VA","M.D.","Obstetrics/Gynecology",0
"FL","D.O.","Family Practice",1
"AZ","M.D.","Thoracic Surgery",1
"TX","D.O., MPH & TM","Family Practice",0
"CA","M.D.","Emergency Medicine",1
"TX","M.D.","Medical Oncology",1
"CA","MD","Hand Surgery",1
"CA","DDS","Dentist",1
"SC","D.M.D.","Dentist",1
"AK","MD","Orthopedic Surgery",1
"NY","MD","Nephrology",0
"AL","M.D.","Plastic and Reconstructive Surgery",1
"CA","M.D., PH.D.","Hematology/Oncology",1
"TN","MD","Allergy/Immunology",0
"FL","D.O.","Family Practice",1
"CA","MD","Family Practice",1
"FL","MD","General Practice",1
"TN","APRN","Nurse Practitioner",0
"PR","","Dentist",0
"MA","M.D.","Internal Medicine",1
"AR","M.D.","Psychiatry",0
"MA","M.D.","Ophthalmology",0
"OH","M.D.","Family Practice",1
"LA","MD","Cardiac Electrophysiology",1
"NY","RPA-C","Physician Assistant",1
"PA","CRNP","Nurse Practitioner",1
"NC","D.D.S.","Dentist",0
"NH","DMD","Dentist",0
"NC","M.D.","Internal Medicine",0
"IA","MD FACOG","Obstetrics/Gynecology",0
"CA","D.D.S.","Dentist",0
"CA","DO","Family Practice",0
"WA","ARNP","Nurse Practitioner",1
"CA","MD","Colon & Rectal Surgery",0
"CA","MD","Internal Medicine",0
"CT","F.N.P.","Nurse Practitioner",0
"IL","M.D.","Internal Medicine",1
"IN","M.D.","Internal Medicine",0
"CA","M.D.","Obstetrics/Gynecology",0
"IL","MD","Otolaryngology",1
"SC","MD","Family Practice",1
"OR","PAC","Physician Assistant",1
"WI","MD","Internal Medicine",0
"CA","M.D.","Pulmonary Disease",0
"CA","MD","Orthopedic Surgery",1
"WI","D.O","Hospitalist",0
"AL","CRNP","Nurse Practitioner",1
"GA","MD","Internal Medicine",1
"NY","M.D","General Practice",1
"MD","DDS","Dentist",0
"FL","D.M.D.","Dentist",0
"CA","M.D.","Family Practice",1
"OH","DDS","Dentist",0
"SC","APRN","Nurse Practitioner",1
"FL","MD","Internal Medicine",1
"NE","M.D.","Family Practice",1
"IL","M.D.","Emergency Medicine",1
"AR","ANP","Nurse Practitioner",0
"GA","M.D.","Urology",1
"WI","MD","Family Practice",1
"PR","DMD","Dentist",0
"OR","FNP-C","Nurse Practitioner",1
"GA","PA","Physician Assistant",0
"IL","MD","Urology",1
"CA","DDS","Dentist",1
"PA","D.O.","Cardiology",0
"IL","DDS","Dentist",1
"NY","M.D.","Internal Medicine",1
"PA","DPM","Podiatry",1
"ID","D.O.","Internal Medicine",0
"MN","M.D.","Family Practice",1
"FL","D.M.D.","Dentist",1
"NC","D.M.D","Dentist",1
"AZ","MD","Emergency Medicine",1
"WA","MD","Colorectal Surgery (formerly proctology)",1
"MD","M.D.","Internal Medicine",0
"WA","D.D.S.","Dentist",0
"IL","MD","Internal Medicine",1
"NY","D.O.","Family Practice",1
"NY","MD","Specialist",0
"MI","P.A.","Physician Assistant",1
"NY","M.D.","Internal Medicine",1
"VA","MD","Emergency Medicine",1
"WI","MD","Diagnostic Radiology",0
"MI","M.D.","Cardiology",0
"FL","MD","Internal Medicine",1
"CA","M.D.","Psychiatry",0
"FL","DMD","Dentist",0
"GA","MD","Internal Medicine",1
"FL","M.D.","Internal Medicine",1
"MD","MD","Family Practice",0
"OK","MD","Internal Medicine",1
"MI","M.D.","Nephrology",1
"MN","MD","Internal Medicine",1
"GA","D.P.M.","Podiatry",0
"PA","M.D.","Cardiology",0
"IN","OD","Optometry",0
"OK","MD","Geriatric Medicine",1
"NY","D.O.","Family Practice",0
"IL","DDS","Dentist",0
"CO","M.D.","Family Practice",1
"AL","M.D.","Orthopedic Surgery",1
"LA","M.D.","Internal Medicine",0
"OR","DPM","Podiatry",1
"ND","FNP","Nurse Practitioner",1
"OH","D.D.S.","Dentist",0
"WI","DO","Family Practice",1
"TX","M.D.","Ophthalmology",0
"NY","M.D.","Cardiology",1
"MD","O. D.","Optometry",0
"IL","DPM","Podiatry",0
"NJ","MD","Cardiology",0
"PR","M.D.","Neurology",0
"NJ","M.D.","Family Practice",1
"FL","MD","Internal Medicine",1
"OH","M.D.","Internal Medicine",1
"SC","MD","Obstetrics/Gynecology",0
"CA","DPM","Podiatry",0
"MO","MD","Obstetrics/Gynecology",0
"FL","DO","Obstetrics/Gynecology",0
"MO","DDS","Dentist",1
"LA","M.D.","Family Practice",1
"FL","MD","Gynecological/Oncology",1
"CA","DDS","Dentist",0
"TN","O.D.","Optometry",0
"MD","MD","Neurology",0
"FL","MD","Cardiology",1
"TX","D.D.S.","Dentist",0
"WA","M.D.","Internal Medicine",1
"NY","M.D.","Internal Medicine",1
"PA","FNP","Nurse Practitioner",1
"TN","MD","Obstetrics/Gynecology",0
"NJ","DPM","Podiatry",0
"LA","M.D.","Otolaryngology",1
"NY","M.D.","General Surgery",1
"NY","NP","Nurse Practitioner",0
"PA","M.D.","Internal Medicine",1
"CA","MD","Obstetrics/Gynecology",0
"SC","O.D.","Optometry",0
"CT","MD","Internal Medicine",1
"CT","MD","Hand Surgery",1
"SC","MD","Psychiatry",0
"SC","MD","Psychiatry",1
"MA","D.O.","General Surgery",1
"WI","DDS","Dentist",0
"MI","DDS","Dentist",0
"NC","MD","Anesthesiology",0
"ME","PA-C","Physician Assistant",1
"VA","M.D.","Neurosurgery",1
"WA","M.D.","Family Practice",1
"MO","MD","Obstetrics/Gynecology",1
"TX","M.D.","Internal Medicine",0
"MO","D.O.","Family Practice",1
"TX","D.O.","Family Practice",1
"AR","MD","Ophthalmology",1
"TX","D.O.","Internal Medicine",0
"AZ","DDS","Dentist",1
"TN","M.D.","Family Practice",1
"NY","DO","Emergency Medicine",1
"VT","PA-C","Physician Assistant",1
"OH","MD","Internal Medicine",1
"NH","","Dentist",1
"OH","MD","Cardiology",0
"SC","DMD","Dentist",0
"IN","O.D.","Optometry",0
"OH","CNS","Certified Clinical Nurse Specialist",0
"CA","D.D.S","Dentist",0
"AZ","M.D","Psychiatry & Neurology",0
"IL","M.D.","Internal Medicine",1
"NC","M.D.","Hematology/Oncology",1
"TX","MD","Internal Medicine",1
"CA","MD","Family Practice",1
"IL","M.D.","Internal Medicine",1
"ID","MS, APRN, FNP-C","Nurse Practitioner",0
"FL","M.D.","Clinic/Center",1
"ME","MD","Family Practice",1
"PA","CRNP","Nurse Practitioner",1
"CA","M.D.","Family Practice",1
"TX","D.O.","Otolaryngology",1
"HI","M.D.","Internal Medicine",1
"CA","DDS","Dentist",1
"PA","M.D.","Psychiatry",0
"MA","MD MPH","Internal Medicine",0
"AL","CRNP","Nurse Practitioner",0
"NH","PA-C","Physician Assistant",1
"CA","NP-C","Nurse Practitioner",1
"FL","M.D.","Internal Medicine",1
"ND","M.D.","Family Practice",1
"NY","M.D.","Internal Medicine",1
"NC","PHARM D","Pharmacist",0
"OH","MD","Internal Medicine",1
"KS","MD","Internal Medicine",1
"FL","NP-C","Nurse Practitioner",0
"WA","ARNP","Nurse Practitioner",1
"TX","M.D.","Family Practice",1
"OR","MD","General Surgery",1
"VA","DO","Rheumatology",1
"MN","M.D.,","Family Practice",1
"NY","FNP","Nurse Practitioner",0
"NY","FNP","Nurse Practitioner",1
"PA","MD","Family Practice",1
"MA","NP","Nurse Practitioner",0
"SC","","Nurse Practitioner",0
"OK","ARNP","Nurse Practitioner",1
"TN","M.D.","Family Practice",0
"PR","MD","Internal Medicine",1
"IN","MD","Cardiology",1
"TX","M.D.","Cardiology",0
"VA","MD","Internal Medicine",1
"IL","MD","Family Practice",1
"AL","M.D.","Obstetrics/Gynecology",0
"PA","D.P.M.","Podiatry",1
"NY","RPA-C","Physician Assistant",0
"MD","CRNP","Nurse Practitioner",1
"WA","DDS","Oral Surgery (dentists only)",0
"GA","MD","Interventional Pain Management",1
"IA","MBBS","Physical Medicine and Rehabilitation",1
"MN","","Nurse Practitioner",1
"HI","M.D.","Internal Medicine",1
"CT","APRN","Certified Clinical Nurse Specialist",0
"NY","NP","Nurse Practitioner",1
"PA","MD","Psychiatry & Neurology",1
"CA","DDS","Dentist",1
"VA","M.D.","Plastic and Reconstructive Surgery",1
"CA","PHYSICIAN ASSISTANT","Physician Assistant",0
"AZ","D.D.S.","Dentist",1
"TX","MD","Orthopedic Surgery",1
"NY","MD","Internal Medicine",1
"PA","PA-C","Physician Assistant",0
"NY","M.D. FCCP","Pulmonary Disease",0
"TX","D.M.D","Dentist",1
"CA","M.D.","Dermatology",0
"WA","M.D.","Cardiology",1
"MS","M.D.","Cardiology",1
"VT","M.D.","Ophthalmology",0
"MS","M.D.","General Surgery",1
"CA","MD","Internal Medicine",1
"IL","M.D.","Internal Medicine",1
"NC","NP","Nurse Practitioner",1
"NY","MD","Family Practice",1
"TX","M.D.","Psychiatry & Neurology",0
"IL","M.D.","Orthopaedic Surgery",1
"OH","MD.","Family Practice",1
"OH","CNP","Nurse Practitioner",1
"CA","D.O.","Physical Medicine and Rehabilitation",1
"NJ","MD","Nephrology",0
"TX","M.D.","Neurology",1
"NY","MD","Internal Medicine",1
"NE","D.D.S.","Dentist",0
"CA","MD","Internal Medicine",0
"VA","MD","Internal Medicine",0
"IL","M.D.","Internal Medicine",1
"PA","DPM","Podiatry",1
"MS","MD","Anesthesiology",1
"CA","M.D.","Ophthalmology",0
"MO","","Dentist",0
"ME","PA-C","Physician Assistant",1
"ID","M.D.","Urology",1
"NY","DPM","Podiatry",0
"WA","M.D.","Family Practice",1
"FL","M.D.","Geriatric Medicine",1
"MO","D.O.","Otolaryngology",0
"CA","M.D.","Family Practice",1
"WA","ARNP","Nurse Practitioner",0
"MO","M.D.","Dermatology",1
"NY","M.D.","Internal Medicine",1
"AZ","D.D.S.","Dentist",1
"CO","PA","Physician Assistant",1
"VT","DPT","Physical Therapist",0
"PA","M.D.","Family Practice",1
"PA","MD","Dermatology",0
"FL","DO","Emergency Medicine",1
"MN","NP","Nurse Practitioner",0
"PA","MD","Psychiatry",0
"CA","D.D.S.","Dentist",0
"PA","DPM","Podiatry",0
"NY","M.D.","Neuropsychiatry",0
"IN","M.D.","Obstetrics/Gynecology",0
"WA","M.D.","Obstetrics/Gynecology",0
"GA","D.D.S.","Oral Surgery (dentists only)",1
"NJ","MD","Plastic and Reconstructive Surgery",1
"NY","MD","Emergency Medicine",1
"TX","PA-C","Physician Assistant",1
"MA","D.D.S, M.D.","Oral Surgery (dentists only)",1
"MA","MD","Family Practice",1
"TX","M.D.","Family Practice",1
"TX","M.D.","Family Practice",1
"SC","MD","Family Practice",1
"PR","PH.D.","Psychologist",1
"PA","D.M.D.","Dentist",0
"LA","MD","Orthopedic Surgery",1
"OH","MD","Psychiatry",0
"LA","M.D.","Hematology/Oncology",1
"WI","DDS","Dentist",0
"WI","M.D.","Family Practice",0
"WI","NP","Nurse Practitioner",0
"NY","FNP","Nurse Practitioner",1
"LA","MD","Internal Medicine",0
"WA","MD","Family Practice",1
"OH","DO","Internal Medicine",1
"MI","OD","Optometry",0
"NY","MD","Family Practice",1
"CA","D.D.S.","Dentist",1
"TN","DDS","Maxillofacial Surgery",1
"MO","D.D.S.","Dentist",1
"NC","M.D.","Internal Medicine",1
"PA","MD","Internal Medicine",1
"TX","MD","Family Practice",0
"CO","MD","Family Practice",1
"TX","DDS","Dentist",1
"FL","MD","Neurosurgery",1
"FL","M.D.","Psychiatry",0
"MA","NP-C","Nurse Practitioner",1
"NJ","D.O.","Obstetrics/Gynecology",0
"MD","M.D.","Emergency Medicine",1
"TX","M.D.","Internal Medicine",0
"CA","M.D.","Internal Medicine",1
"PA","O.D.","Optometry",0
"MI","PA-C","Physician Assistant",0
"WA","","Pharmacist",1
"CA","M.D.","Obstetrics/Gynecology",1
"WV","D.D.S.","Dentist",0
"MA","PA-C","Physician Assistant",0
"GA","M.D.","Obstetrics/Gynecology",1
"AZ","MD","Gastroenterology",0
"AZ","M.D.","Internal Medicine",1
"GA","PAC","Physician Assistant",1
"CA","MD","Ophthalmology",0
"TX","DDS","Dentist",0
"TX","M.D.","Internal Medicine",0
"AL","MD","Cardiology",1
"DC","M.D.","Student in an Organized Health Care Education/Training Program",0
"MA","NP","Nurse Practitioner",1
"CA","M.D.","Pulmonary Disease",1
"NY","MD","Internal Medicine",0
"CT","APRN","Nurse Practitioner",1
"CA","M.D.","Psychiatry & Neurology",0
"VA","D.P.M.","Podiatry",1
"MA","APRN, BC","Certified Clinical Nurse Specialist",0
"NC","ANP","Nurse Practitioner",1
"AL","M.D.","Neurology",0
"IL","P.A.-C","Physician Assistant",1
"TX","M.D.","Obstetrics/Gynecology",1
"VA","M.D.","Family Practice",0
"AK","O.D.","Optometry",0
"CA","DDS","Dentist",0
"WA","M.D.","Radiation Oncology",0
"UT","DMD","Dentist",1
"AL","MD","Internal Medicine",1
"IL","MD","Colorectal Surgery (formerly proctology)",1
"GA","M.D.","Internal Medicine",1
"PA","M.D.","Psychiatry",0
"MO","M.D.","Student in an Organized Health Care Education/Training Program",1
"OH","PA-C","Physician Assistant",1
"TX","M.D.","Dermatology",0
"MS","M.D.P.A.","Family Practice",1
"CA","DDS","Dentist",0
"MI","M.D.","Family Practice",1
"CA","DDS","Dentist",0
"WI","MD","Obstetrics/Gynecology",0
"NC","O.D.","Optometry",1
"CA","M.D.","Internal Medicine",1
"CA","M.D.","Family Practice",1
"CA","M.D.","Obstetrics/Gynecology",1
"SC","M.D.","Family Practice",1
"CA","MD","Orthopedic Surgery",1
"CA","M.D.","Cardiology",0
"TX","MD","Gastroenterology",0
"SC","MD","Otolaryngology",0
"IL","MD","Family Practice",1
"OR","MD","Family Practice",1
"LA","F.N.P.-C","Nurse Practitioner",1
"KY","MD","Family Practice",1
"FL","","Family Practice",1
"FL","M.D.","Specialist",0
"GA","MD","Gastroenterology",1
"AZ","PA-C","Physician Assistant",1
"MI","MD","Emergency Medicine",1
"NJ","MD","Family Practice",1
"PA","DO","Orthopedic Surgery",1
"IN","D.D.S","Dentist",1
"MA","MD","Urology",0
"WA","MD","Internal Medicine",1
"OH","M.D.","Family Practice",1
"CA","D.O.","Family Practice",1
"NC","O.D.","Optometry",0
"IL","","Internal Medicine",1
"IL","M.D.","Internal Medicine",1
"NY","DPM","Podiatry",1
"OH","PA-C","Physician Assistant",0
"WA","M.D.","Neurology",0
"CA","PA-C","Physician Assistant",1
"MS","O.D.","Optometry",0
"PA","M.D.","Family Practice",1
"TX","MD","Psychiatry",0
"AZ","D.P.M.","Podiatry",1
"OH","MD","Family Practice",1
"NY","","Internal Medicine",1
"FL","MD","Family Practice",1
"CT","NP-C","Nurse Practitioner",1
"CA","M.D.","Family Practice",0
"WA","MD","Hematology/Oncology",1
"FL","M.D.","Otolaryngology",0
"DC","MD","Endocrinology",0
"LA","MD","Interventional Pain Management",1
"CA","MD","Internal Medicine",1
"AZ","M.D,","Internal Medicine",1
"MD","CRNP","Nurse Practitioner",1
"ID","MD","Family Practice",1
"HI","M.D.","Internal Medicine",1
"AR","MD","Gastroenterology",1
"DE","DMD","Dentist",0
"CA","NP","Specialist",0
"NY","MD","Obstetrics/Gynecology",0
"CT","APRN","Nurse Practitioner",0
"SC","M.D.","Urology",1
"FL","M.D.","Orthopedic Surgery",1
"OK","M. D.","Gastroenterology",1
"MI","MD","Neurology",1
"CO","PA-C","Physician Assistant",1
"KS","M.D.","Family Practice",1
"WV","CFNP","Nurse Practitioner",1
"CA","MD","Family Practice",1
"CA","M.D.","Family Practice",1
"AL","DO","Family Practice",1
"AL","M.D.","Nephrology",1
"AZ","MD","Internal Medicine",1
"MI","MD","General Surgery",1
"CT","MD","Gastroenterology",0
"NY","M.D.","Obstetrics/Gynecology",0
"CA","D.D.S.","Dentist",0
"TX","DO","Nephrology",0
"NC","D.P.M.","Podiatry",0
"UT","DDS","Dentist",0
"CA","DDS","Dentist",0
"AL","DMD","Dentist",1
"TX","OD","Optometry",0
"GA","C.N.P","Nurse Practitioner",1
"NJ","MD","Internal Medicine",1
"IL","M.D.","Internal Medicine",0
"FL","MD","Dermatology",0
"NY","DO","Family Practice",0
"NM","DDS","Dentist",0
"IN","OD","Optometry",0
"IN","M.D.","Family Practice",1
"MN","MD","Psychiatry & Neurology",0
"CA","D.P.M.","Podiatry",1
"NJ","M.D.","Dermatology",0
"OH","M.D.","Otolaryngology",1
"MI","CNP","Nurse Practitioner",0
"CA","PA","Physician Assistant",1
"SC","","Family Practice",1
"IL","M.D.","Psychiatry & Neurology",0
"NY","M.D.","Internal Medicine",1
"NJ","M.D.","Hematology/Oncology",1
"AZ","MD","Ophthalmology",0
"DE","MD","Cardiology",0
"OR","M.D.","Ophthalmology",1
"NY","D.D.S.","Dentist",0
"MD","CRNP","Nurse Practitioner",1
"FL","MD","Ophthalmology",0
"NV","MD","Ophthalmology",0
"PA","PA-C","Physician Assistant",1
"TN","APN","Nurse Practitioner",1
"FL","M.D.","Family Practice",1
"NE","MD","Family Practice",1
"MA","MD","General Surgery",0
"MD","DDS","Dentist",0
"MI","D.O.","Family Practice",1
"AZ","DMD","Dentist",0
"PA","MD","Emergency Medicine",1
"TX","DO","Family Practice",1
"VA","DDS","Dentist",0
"FL","DO","Family Practice",1
"FL","MD","Internal Medicine",1
"NC","M.D.","Pediatric Medicine",0
"NC","MD","Endocrinology",0
"TX","D.M.D","Dentist",0
"NC","FNP","Nurse Practitioner",1
"LA","FNP","Nurse Practitioner",1
"CA","M.D.","Student in an Organized Health Care Education/Training Program",0
"NY","MD","Orthopedic Surgery",1
"TN","M.D.","Obstetrics/Gynecology",1
"ME","MD","Psychiatry",0
"IL","M.D.","Family Practice",1
"CA","D.D.S., A.P.C.","Dentist",1
"CO","","Physician Assistant",1
"MO","D.D.S.","Student in an Organized Health Care Education/Training Program",1
"CA","MD","Critical Care (Intensivists)",1
"MD","M.D.","Critical Care (Intensivists)",1
"PA","MD","Internal Medicine",0
"PA","OD","Optometry",0
"CA","D.M.D","Dentist",0
"AL","MD","Hand Surgery",1
"NY","MD","Physical Medicine and Rehabilitation",1
"CA","MD","Orthopedic Surgery",1
"NY","NP","Nurse Practitioner",1
"CA","NP","Nurse Practitioner",1
"MA","APN","Certified Clinical Nurse Specialist",0
"MS","MD","Anesthesiology",0
"CT","P.A.","Physician Assistant",0
"NY","MD","Family Practice",0
"MA","NP-C, MSN","Nurse Practitioner",1
"TN","MD","Internal Medicine",1
"TX","MD","Ophthalmology",0
"TN","PA","Physician Assistant",0
"MD","CRNP","Nurse Practitioner",0
"SC","MD FACP","Internal Medicine",1
"NY","R.P.A.","Physician Assistant",0
"CA","PAC","Physician Assistant",1
"CO","PA","Physician Assistant",1
